time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/loss
14,211.37,1135,25,28672,211.37,-0.006494097365066409,0.037548828125,130,0.7705646008253098,0.006055637,0.2,0.0003,-0.9179001558572054,35.92310660555959,2.111344575881958
15,229.21,1133,27,30720,229.21,-0.003863839885161724,0.02724609375,140,0.9600741527974606,0.0037929649,0.2,0.0003,-0.926806741207838,3.244833712419495,0.6767041087150574
16,243.78,1134,28,32768,243.78,-0.0010753006557933987,0.0390625,150,0.03398710489273071,0.0053665275,0.2,0.0003,-0.9222293812781572,1.2192345055227634,0.09385883063077927
17,263.62,1134,30,34816,263.62,-0.003699563471309375,0.002783203125,160,0.009067654609680176,0.0019049228,0.2,0.0003,-0.91053034234792,101.35494682490825,54.127525329589844
18,278.25,1130,32,36864,278.25,-0.002171635753620649,0.00263671875,170,0.0707632303237915,0.002162553,0.2,0.0003,-0.881143674813211,47.695048700645565,30.996389389038086
19,291.54,1128,34,38912,291.54,-0.0046445033207419325,0.0375,180,0.14307892322540283,0.0064507085,0.2,0.0003,-0.8347645493224263,2.342346732970327,0.19502685964107513
20,305.12,1128,36,40960,305.12,-0.009805168882303405,0.10390625,190,0.48909133672714233,0.00835689,0.2,0.0003,-0.8699113320559263,1.1655726828612387,0.16686280071735382
21,318.59,1128,38,43008,318.59,-0.010456223093206063,0.068896484375,200,0.36741071939468384,0.0072129667,0.2,0.0003,-0.7775492014363408,0.2455567411321681,0.025638369843363762
22,332.95,1128,39,45056,332.95,-0.002623081376077607,0.078369140625,210,-0.20903241634368896,0.0044718604,0.2,0.0003,-0.7824438963085413,0.13031533877074253,0.029269739985466003
23,352.09,1128,41,47104,352.09,-0.005145665571035352,0.106640625,220,0.029143154621124268,0.009656826,0.2,0.0003,-0.7105804163962602,0.0826347415568307,0.006918467581272125
24,368.63,1128,43,49152,368.63,-0.002217473409109516,0.054296875,230,-0.029253005981445312,0.006441332,0.2,0.0003,-0.6959188370034098,0.056269636619254014,0.021723078563809395
25,381.44,1127,45,51200,381.44,-0.0046974872711871285,0.08974609375,240,-0.021446943283081055,0.008404871,0.2,0.0003,-0.6822295473888517,0.03590351625571202,0.01339758187532425
26,394.75,1126,47,53248,394.75,-0.00010231091728201136,0.024267578125,250,-0.07018518447875977,0.0038628979,0.2,0.0003,-0.681399923749268,0.022540295904582307,-0.01527995616197586
27,407.56,1124,49,55296,407.56,-0.0021993863323586994,0.053369140625,260,-0.059072017669677734,0.005644375,0.2,0.0003,-0.7231292735785246,0.01460042091421201,-0.02351866476237774
